English,Persian,Context,File
Excellent,عالی,,"apps/backups/templates/backups/dashboard.html:270, templates/backups/dashboard.html:247"
Good,خوب,,"apps/backups/templates/backups/dashboard.html:272, templates/backups/dashboard.html:249"
Real-time PostgreSQL Write-Ahead Log archiving monitoring and management,نظارت و مدیریت بایگانی گزارش بلادرنگ PostgreSQL Write-Ahead,,"apps/backups/templates/backups/dashboard.html:339, templates/backups/dashboard.html:329"
Backup Manager,مدیر پشتیبان گیری,,"apps/backups/templates/backups/dashboard.html:354, templates/backups/dashboard.html:344"
"Browse, filter, and manage all database backups with advanced search capabilities",با قابلیت های جستجوی پیشرفته، تمام نسخه های پشتیبان پایگاه داده را مرور، فیلتر و مدیریت کنید,,"apps/backups/templates/backups/dashboard.html:356, templates/backups/dashboard.html:346"
Restore Wizard,بازیابی جادوگر,,"apps/backups/templates/backups/dashboard.html:371, templates/backups/dashboard.html:361"
"Step-by-step guided restoration process with full, merge, and selective restore modes",فرآیند بازیابی هدایت شده گام به گام با حالت های بازیابی کامل، ادغام و انتخابی,,"apps/backups/templates/backups/dashboard.html:373, templates/backups/dashboard.html:363"
Disaster Recovery,بازیابی بلایا,,"apps/backups/templates/backups/dashboard.html:388, templates/backups/dashboard.html:378"
Comprehensive DR runbook and automated failover procedures for critical incidents,Runbook جامع DR و رویه های خودکار خطا برای حوادث بحرانی,,"apps/backups/templates/backups/dashboard.html:390, templates/backups/dashboard.html:380"
View Runbook,Runbook را مشاهده کنید,,"apps/backups/templates/backups/dashboard.html:393, templates/backups/dashboard.html:383"
No active alerts at this time,در حال حاضر هیچ هشدار فعالی وجود ندارد,,apps/backups/templates/backups/dashboard.html:506
Real-time monitoring of PostgreSQL Write-Ahead Log archiving,نظارت بر زمان واقعی بایگانی گزارش نوشتن پیش از ارسال PostgreSQL,,apps/backups/templates/backups/wal_monitoring.html:192
Since inception,از بدو تاسیس,,apps/backups/templates/backups/wal_monitoring.html:212
Last 24 Hours,24 ساعت گذشته,,apps/backups/templates/backups/wal_monitoring.html:216
per hour,در ساعت,,apps/backups/templates/backups/wal_monitoring.html:220
saved,ذخیره شده است,,apps/backups/templates/backups/wal_monitoring.html:236
Last Archive,آخرین آرشیو,,apps/backups/templates/backups/wal_monitoring.html:242
Archive Interval,فاصله بایگانی,,apps/backups/templates/backups/wal_monitoring.html:268
Modified By,اصلاح شده توسط,,apps/backups/templates/backups/wal_monitoring.html:282
Storage Distribution,توزیع ذخیره سازی,,apps/backups/templates/backups/wal_monitoring.html:303
Local Storage,محل ذخیره سازی,,"apps/backups/templates/backups/wal_monitoring.html:308, apps/backups/templates/backups/wal_monitoring.html:435"
Cloudflare R2,Cloudflare R2,,"apps/backups/templates/backups/wal_monitoring.html:317, apps/backups/templates/backups/wal_monitoring.html:440"
Backblaze B2,Backblaze B2,,"apps/backups/templates/backups/wal_monitoring.html:326, apps/backups/templates/backups/wal_monitoring.html:445"
Total Size (24h),اندازه کل (24 ساعت),,apps/backups/templates/backups/wal_monitoring.html:335
All systems operational,همه سیستم ها عملیاتی هستند,,apps/backups/templates/backups/wal_monitoring.html:376
Size,اندازه,,"apps/backups/templates/backups/wal_monitoring.html:395, templates/backups/dashboard.html:483"
Too many failed login attempts. Your IP has been temporarily blocked. Please try again in {} minutes.,تعداد زیادی تلاش برای ورود ناموفق. IP شما به طور موقت مسدود شده است. لطفاً {} دقیقه دیگر دوباره امتحان کنید.,,"apps/core/brute_force_protection.py:109, apps/core/brute_force_protection.py:129"
units,واحدها,,apps/core/templates/core/cached_dashboard_example.html:70
low stock,موجودی کم,,apps/core/templates/core/cached_dashboard_example.html:88
Walk-in,پیاده روی,,apps/core/templates/core/cached_dashboard_example.html:153
You have %(count)d item in your inventory.,شما %(count)d مورد در موجودی خود دارید.,,apps/core/translation_utils.py:53
Too many login attempts. Please wait a moment and try again.,تلاش های زیادی برای ورود به سیستم لطفاً یک لحظه صبر کنید و دوباره امتحان کنید.,,apps/core/views.py:114
Enter SKU,SKU را وارد کنید,,apps/inventory/forms.py:65
Selling price,قیمت فروش,,apps/inventory/forms.py:126
Minimum quantity threshold,حداقل آستانه مقدار,,apps/inventory/forms.py:138
Lot number (optional),شماره قطعه (اختیاری),,apps/inventory/forms.py:150
Supplier SKU (optional),SKU تامین کننده (اختیاری),,apps/inventory/forms.py:162
Selling price cannot be less than cost price.,قیمت فروش نمی تواند کمتر از قیمت تمام شده باشد.,,apps/inventory/forms.py:204
Minimum quantity cannot be negative.,حداقل مقدار نمی تواند منفی باشد.,,apps/inventory/forms.py:215
Weight must be greater than zero.,وزن باید بزرگتر از صفر باشد.,,apps/inventory/forms.py:220
Purchase/Receiving,خرید/دریافت,,apps/inventory/forms.py:236
Damage/Loss,خسارت / ضرر,,apps/inventory/forms.py:239
Theft,دزدی,,apps/inventory/forms.py:240
Stock Count Adjustment,تعدیل تعداد سهام,,apps/inventory/forms.py:241
Transfer,انتقال,,apps/inventory/forms.py:242
Other,دیگر,,"apps/inventory/forms.py:243, templates/accounting/bank_accounts/list.html:112"
Reason,دلیل,,"apps/inventory/forms.py:272, templates/accounting/credit_memos/form.html:125, templates/accounting/fixed_assets/detail.html:286"
Additional notes (optional),نکات اضافی (اختیاری),,apps/inventory/forms.py:281
Enter category description (optional),توضیحات دسته را وارد کنید (اختیاری),,apps/inventory/forms.py:323
Auto-generated from name if left empty,در صورت خالی ماندن از نام به صورت خودکار تولید می شود,,apps/inventory/forms.py:335
0,0,,apps/inventory/forms.py:341
SEO title (optional),عنوان سئو (اختیاری),,apps/inventory/forms.py:347
SEO description (optional),توضیحات سئو (اختیاری),,apps/inventory/forms.py:354
No parent (top-level category),بدون والدین (دسته سطح بالا),,apps/inventory/forms.py:378
Error validating image: %(error)s,خطا در اعتبارسنجی تصویر: %(error)s,,apps/inventory/forms.py:417
A category cannot be its own parent.,یک دسته نمی تواند والد خودش باشد.,,apps/inventory/forms.py:429
This would create a circular parent relationship.,این یک رابطه والدین دایره ای ایجاد می کند.,,apps/inventory/forms.py:436
Image processing is not available. Please ensure Pillow is installed.,پردازش تصویر در دسترس نیست. لطفاً مطمئن شوید که Pillow نصب شده است.,,apps/inventory/forms.py:515
Image processing failed: %(error)s,پردازش تصویر ناموفق بود: %(error)s,,apps/inventory/forms.py:519
Unexpected error processing image: %(error)s,خطای غیرمنتظره در پردازش تصویر: %(error)s,,apps/inventory/forms.py:523
Cannot decrease quantity below zero.,نمی توان مقدار را زیر صفر کاهش داد.,,apps/inventory/web_views.py:343
Stock adjusted successfully. New quantity: {},سهام با موفقیت تنظیم شد. مقدار جدید: {},,apps/inventory/web_views.py:356
No tenant associated with your account.,هیچ مستاجری با حساب شما مرتبط نیست.,,"apps/inventory/web_views.py:501, apps/inventory/web_views.py:567, apps/inventory/web_views.py:665 ... (2 more)"
Security error: Tenant mismatch detected.,خطای امنیتی: عدم تطابق مستاجر شناسایی شد.,,"apps/inventory/web_views.py:582, apps/inventory/web_views.py:685"
Please correct the errors below.,لطفا خطاهای زیر را اصلاح کنید.,,"apps/inventory/web_views.py:593, apps/inventory/web_views.py:697"
Image processing error: {},خطای پردازش تصویر: {},,"apps/inventory/web_views.py:597, apps/inventory/web_views.py:701"
"Cannot delete category ""{}"". It has {} items. Please move or delete the items first.","نمی توان دسته ""{}"" را حذف کرد. دارای {} مورد است. لطفا ابتدا موارد را جابجا یا حذف کنید.",,apps/inventory/web_views.py:768
"Cannot delete category ""{}"". It has subcategories. Please delete subcategories first.","نمی توان دسته ""{}"" را حذف کرد. زیرمجموعه هایی دارد. لطفا ابتدا زیر مجموعه ها را حذف کنید.",,apps/inventory/web_views.py:775
Use Django template syntax. Keep under 160 characters for single SMS. Available variables depend on context.,از نحو قالب جنگو استفاده کنید. کمتر از 160 کاراکتر برای پیامک تک نگه دارید. متغیرهای موجود به زمینه بستگی دارد.,,apps/notifications/admin.py:544
"Text for action button (e.g., ""View Order"", ""Update Inventory"")","دکمه متن برای اقدام (به عنوان مثال، ""مشاهده سفارش""، ""به روز رسانی موجودی"")",,apps/notifications/models.py:64
Add,اضافه کنید,,"templates/accounting/account_form.html:35, templates/accounting/bank_accounts/form.html:46"
"Unique account code (e.g., 1004 for bank accounts)",کد حساب منحصر به فرد (به عنوان مثال، 1004 برای حساب های بانکی),,templates/accounting/account_form.html:67
Assets,دارایی ها,,templates/accounting/account_form.html:90
Prepaid Expenses,هزینه های پیش پرداخت,,templates/accounting/account_form.html:94
Equipment,تجهیزات,,templates/accounting/account_form.html:97
Liabilities,بدهی ها,,templates/accounting/account_form.html:99
Accounts Payable,حساب های پرداختنی,,"templates/accounting/account_form.html:100, templates/accounting/accounts_payable.html:5, templates/accounting/accounts_payable.html:14 ... (2 more)"
Taxes Payable,مالیات های قابل پرداخت,,templates/accounting/account_form.html:101
Other Current Liabilities,سایر بدهی های جاری,,templates/accounting/account_form.html:102
Equity,حقوق صاحبان سهام,,templates/accounting/account_form.html:105
Owner's Equity,حقوق صاحبان سهام,,templates/accounting/account_form.html:106
Sales Revenue,درآمد فروش,,templates/accounting/account_form.html:110
Other Income,سایر درآمدها,,templates/accounting/account_form.html:111
Expenses,مخارج,,templates/accounting/account_form.html:113
Cost of Goods Sold,بهای تمام شده کالای فروخته شده,,templates/accounting/account_form.html:114
"Assets & Expenses: Debit | Liabilities, Equity & Revenue: Credit",دارایی ها و هزینه ها: بدهی | بدهی ها، حقوق صاحبان سهام و درآمد: اعتبار,,templates/accounting/account_form.html:132
Optional description of this account,شرح اختیاری این حساب,,templates/accounting/account_form.html:144
Account Code Guidelines:,دستورالعمل کد حساب:,,templates/accounting/account_form.html:178
1000-1999: Assets (1000-1099 for bank accounts),1000-1999: دارایی ها (1000-1099 برای حساب های بانکی),,templates/accounting/account_form.html:180
2000-2999: Liabilities,2000-2999: بدهی ها,,templates/accounting/account_form.html:181
3000-3999: Equity,3000-3999: حقوق صاحبان سهام,,templates/accounting/account_form.html:182
4000-4999: Revenue,4000-4999: درآمد,,templates/accounting/account_form.html:183
5000-5999: Expenses,5000-5999: مخارج,,templates/accounting/account_form.html:184
Expected Delivery,تحویل مورد انتظار,,templates/accounting/accounts_payable.html:100
No outstanding payables,بدون پرداخت معوق,,templates/accounting/accounts_payable.html:147
All purchase orders have been completed or paid.,تمامی سفارشات خرید تکمیل یا پرداخت شده است.,,templates/accounting/accounts_payable.html:149
Reconciled Balance,تعادل آشتی,,"templates/accounting/bank_accounts/detail.html:98, templates/accounting/bank_accounts/list.html:165"
Unreconciled Balance,تعادل ناسازگار,,templates/accounting/bank_accounts/detail.html:114
Bank,بانک,,templates/accounting/bank_accounts/detail.html:137
Linked GL Account,حساب GL مرتبط,,templates/accounting/bank_accounts/detail.html:154
View in Chart of Accounts,مشاهده در نمودار حساب,,templates/accounting/bank_accounts/detail.html:161
Not linked to Chart of Accounts,به نمودار حساب ها مرتبط نیست,,templates/accounting/bank_accounts/detail.html:171
Link to GL Account,پیوند به حساب GL,,templates/accounting/bank_accounts/detail.html:175
SWIFT Code,کد سوئیفت,,templates/accounting/bank_accounts/detail.html:188
Last Reconciled,آخرین آشتی,,"templates/accounting/bank_accounts/detail.html:220, templates/accounting/bank_accounts/list.html:171"
Days Ago,روزها پیش,,templates/accounting/bank_accounts/detail.html:224
This account needs reconciliation,این حساب نیاز به تطبیق دارد,,templates/accounting/bank_accounts/detail.html:235
Set as Default,به عنوان پیش فرض تنظیم کنید,,templates/accounting/bank_accounts/detail.html:260
Unreconciled Transactions,معاملات ناسازگار,,"templates/accounting/bank_accounts/detail.html:286, templates/accounting/bank_reconciliation/detail.html:189"
Recent Reconciliations,آشتی های اخیر,,templates/accounting/bank_accounts/detail.html:337
In Progress,در حال انجام است,,"templates/accounting/bank_accounts/detail.html:374, templates/accounting/bank_reconciliation/detail.html:47, templates/accounting/bank_reconciliation/detail.html:86 ... (2 more)"
Edit Bank Account,ویرایش حساب بانکی,,"templates/accounting/bank_accounts/form.html:7, templates/accounting/bank_accounts/form.html:21"
GL Account (Chart of Accounts),حساب GL (نمودار حساب ها),,templates/accounting/bank_accounts/form.html:118
Recommended,توصیه می شود,,templates/accounting/bank_accounts/form.html:119
Link this bank account to a General Ledger account from your Chart of Accounts. This connects your physical bank account to your accounting records.,این حساب بانکی را به یک حساب دفتر کل از نمودار حساب های خود پیوند دهید. این حساب بانکی فیزیکی شما را به سوابق حسابداری شما متصل می کند.,,templates/accounting/bank_accounts/form.html:126
"For security, consider entering only the last 4 digits",برای امنیت، فقط 4 رقم آخر را وارد کنید,,templates/accounting/bank_accounts/form.html:145
Opening Balance,موجودی افتتاحیه,,"templates/accounting/bank_accounts/form.html:171, templates/accounting/suppliers/statement.html:149, templates/accounting/suppliers/statement.html:215"
Balance when adding this account to the system,موجودی هنگام افزودن این حساب به سیستم,,templates/accounting/bank_accounts/form.html:178
SWIFT/BIC Code,کد SWIFT/BIC,,templates/accounting/bank_accounts/form.html:204
The default account will be pre-selected in transactions,حساب پیش فرض در تراکنش ها از قبل انتخاب می شود,,templates/accounting/bank_accounts/form.html:253
Import Bank Statement,صورتحساب بانک واردات,,"templates/accounting/bank_accounts/import.html:5, templates/accounting/bank_accounts/import.html:14"
Upload a bank statement file to automatically import transactions,برای وارد کردن خودکار تراکنش‌ها، فایل صورت‌حساب بانکی را آپلود کنید,,templates/accounting/bank_accounts/import.html:17
Supported File Formats:,فرمت های فایل پشتیبانی شده:,,templates/accounting/bank_accounts/import.html:51
"Comma-separated values with Date, Description, Amount columns",مقادیر جدا شده با کاما با ستون‌های Date، Description، Amount,,templates/accounting/bank_accounts/import.html:54
QuickBooks Online format,فرمت QuickBooks Online,,templates/accounting/bank_accounts/import.html:57
Your CSV file should have the following columns:,فایل CSV شما باید دارای ستون های زیر باشد:,,templates/accounting/bank_accounts/import.html:66
What Happens During Import:,آنچه در هنگام واردات اتفاق می افتد:,,templates/accounting/bank_accounts/import.html:77
The system parses your file and extracts transactions,سیستم فایل شما را تجزیه می کند و تراکنش ها را استخراج می کند,,templates/accounting/bank_accounts/import.html:80
Duplicate transactions are automatically detected and skipped,تراکنش های تکراری به طور خودکار شناسایی و نادیده گرفته می شوند,,templates/accounting/bank_accounts/import.html:81
The system attempts to match transactions with existing journal entries,این سیستم تلاش می‌کند تراکنش‌ها را با ورودی‌های ژورنال موجود مطابقت دهد,,templates/accounting/bank_accounts/import.html:82
Unmatched transactions can be manually reconciled later,تراکنش های بی همتا را می توان بعداً به صورت دستی تطبیق داد,,templates/accounting/bank_accounts/import.html:83
Upload Statement File,آپلود فایل بیانیه,,templates/accounting/bank_accounts/import.html:92
Please correct the following errors:,لطفا خطاهای زیر را اصلاح کنید:,,"templates/accounting/bank_accounts/import.html:105, templates/accounting/bills/form.html:211, templates/accounting/bills/payment_form.html:98 ... (6 more)"
Upload a file,یک فایل آپلود کنید,,"templates/accounting/bank_accounts/import.html:147, templates/inventory/category_form.html:324"
or drag and drop,یا بکشید و رها کنید,,"templates/accounting/bank_accounts/import.html:150, templates/inventory/category_form.html:325"
up to 10MB,تا 10 مگابایت,,templates/accounting/bank_accounts/import.html:153
Imported,وارداتی,,templates/accounting/bank_accounts/import.html:228
Matched,مطابقت دارد,,templates/accounting/bank_accounts/import.html:231
Partial,جزئی,,"templates/accounting/bank_accounts/import.html:270, templates/accounting/bills/list.html:297, templates/accounting/customers/accounting_detail.html:249 ... (2 more)"
Need Reconciliation,نیاز به آشتی,,templates/accounting/bank_accounts/list.html:83
Checking,چک کردن,,templates/accounting/bank_accounts/list.html:107
Credit Card,کارت اعتباری,,templates/accounting/bank_accounts/list.html:110
Needs Reconciliation,نیاز به آشتی دارد,,templates/accounting/bank_accounts/list.html:135
Recently Reconciled,اخیرا آشتی کرده است,,templates/accounting/bank_accounts/list.html:136
days ago,روز قبل,,templates/accounting/bank_accounts/list.html:227
Never,هرگز,,templates/accounting/bank_accounts/list.html:231
Reconcile,آشتی کن,,templates/accounting/bank_accounts/list.html:258
Add Your First Bank Account,اولین حساب بانکی خود را اضافه کنید,,templates/accounting/bank_accounts/list.html:281
Statement Beginning,شروع بیانیه,,templates/accounting/bank_reconciliation/detail.html:104
Deposits:,سپرده ها:,,templates/accounting/bank_reconciliation/detail.html:148
Withdrawals:,برداشت ها:,,templates/accounting/bank_reconciliation/detail.html:149
Mark Selected as Reconciled,علامت‌گذاری به‌عنوان تطبیق‌شده,,templates/accounting/bank_reconciliation/detail.html:201
Deposits,سپرده ها,,"templates/accounting/bank_reconciliation/detail.html:229, templates/accounting/bank_reconciliation/detail.html:340, templates/accounting/reports/bank_reconciliation.html:189"
Withdrawals,برداشت ها,,"templates/accounting/bank_reconciliation/detail.html:232, templates/accounting/bank_reconciliation/detail.html:343, templates/accounting/reports/bank_reconciliation.html:244"
Deposit,سپرده گذاری,,"templates/accounting/bank_reconciliation/detail.html:255, templates/accounting/bank_reconciliation/detail.html:364, templates/accounting/bank_reconciliation/detail.html:554"
Withdrawal,برداشت,,"templates/accounting/bank_reconciliation/detail.html:259, templates/accounting/bank_reconciliation/detail.html:368, templates/accounting/bank_reconciliation/detail.html:555"
Unreconciled Totals:,مجموع ناسازگار:,,templates/accounting/bank_reconciliation/detail.html:286
There are no unreconciled transactions for this period.,برای این دوره هیچ معامله ناسازگاری وجود ندارد.,,templates/accounting/bank_reconciliation/detail.html:307
Reconciled Totals:,مجموع مصالحه شده:,,templates/accounting/bank_reconciliation/detail.html:404
Cancel Reconciliation,لغو آشتی,,templates/accounting/bank_reconciliation/detail.html:449
Edit Statement Ending Balance,تراز پایانی بیانیه را ویرایش کنید,,templates/accounting/bank_reconciliation/detail.html:493
Statement Ending Balance,تراز پایانی بیانیه,,templates/accounting/bank_reconciliation/detail.html:500
 transaction(s) as reconciled?,معامله (ها) به عنوان مصالحه؟,,templates/accounting/bank_reconciliation/detail.html:629
The reconciliation has a difference of $,تطبیق تفاوت دلاری دارد,,templates/accounting/bank_reconciliation/detail.html:639
Start your first bank reconciliation to track and match your transactions.,اولین تطبیق بانکی خود را برای ردیابی و مطابقت تراکنش های خود شروع کنید.,,templates/accounting/bank_reconciliation/list.html:135
Start Reconciliation,آشتی را شروع کنید,,templates/accounting/bank_reconciliation/list.html:140
Bill,لایحه,,"templates/accounting/bills/detail.html:16, templates/accounting/suppliers/statement.html:237"
Bills,صورت حساب ها,,"templates/accounting/bills/detail.html:30, templates/accounting/bills/form.html:174, templates/accounting/bills/list.html:16 ... (4 more)"
Paid,پرداخت شده است,,"templates/accounting/bills/detail.html:72, templates/accounting/bills/list.html:148, templates/accounting/bills/list.html:293 ... (4 more)"
Partially Paid,تا حدی پرداخت شده است,,"templates/accounting/bills/detail.html:76, templates/accounting/bills/list.html:147, templates/accounting/invoices/detail.html:76"
Approved,تصویب شد,,"templates/accounting/bills/detail.html:80, templates/accounting/bills/list.html:146, templates/accounting/bills/list.html:301 ... (3 more)"
Void,باطل,,"templates/accounting/bills/detail.html:84, templates/accounting/bills/list.html:149, templates/accounting/bills/list.html:305 ... (4 more)"
Amount Due,مبلغ سررسید,,"templates/accounting/bills/detail.html:120, templates/accounting/bills/list.html:250, templates/accounting/customers/accounting_detail.html:221 ... (3 more)"
Tax:,مالیات:,,"templates/accounting/bills/detail.html:251, templates/accounting/bills/form.html:656, templates/accounting/invoices/detail.html:251 ... (1 more)"
Remaining Balance:,موجودی باقیمانده:,,"templates/accounting/bills/detail.html:337, templates/accounting/invoices/detail.html:337"
No payments have been recorded for this bill yet.,هنوز هیچ پرداختی برای این صورتحساب ثبت نشده است.,,templates/accounting/bills/detail.html:354
Add items and services to this bill,موارد و خدمات را به این صورتحساب اضافه کنید,,templates/accounting/bills/form.html:422
Please add at least one line item.,لطفا حداقل یک مورد خط اضافه کنید.,,"templates/accounting/bills/form.html:874, templates/accounting/invoices/form.html:874"
Saving...,در حال ذخیره...,,"templates/accounting/bills/form.html:880, templates/accounting/invoices/form.html:880"
New Bill,لایحه جدید,,"templates/accounting/bills/list.html:47, templates/accounting/bills/list.html:362, templates/accounting/suppliers/accounting_detail.html:55"
Due This Month,سررسید این ماه,,templates/accounting/bills/list.html:90
Bills List,لیست قبوض,,templates/accounting/bills/list.html:221
days,روز,,"templates/accounting/bills/list.html:278, templates/accounting/customers/accounting_detail.html:167, templates/accounting/invoices/list.html:246 ... (1 more)"
Due today,سررسید امروز,,"templates/accounting/bills/list.html:282, templates/accounting/invoices/list.html:250"
Record payment,ثبت پرداخت,,"templates/accounting/bills/list.html:334, templates/accounting/invoices/list.html:306"
No bills,بدون صورتحساب,,"templates/accounting/bills/list.html:352, templates/accounting/suppliers/accounting_detail.html:251"
Amount Paid,مبلغ پرداختی,,"templates/accounting/bills/payment_form.html:74, templates/accounting/invoices/payment_form.html:74"
Remaining Balance,تعادل باقی مانده,,"templates/accounting/bills/payment_form.html:79, templates/accounting/invoices/payment_form.html:79"
Maximum:,حداکثر:,,"templates/accounting/bills/payment_form.html:139, templates/accounting/invoices/payment_form.html:139"
Code,کد,,templates/accounting/chart_of_accounts.html:31
Accounting has not been set up for this tenant.,حسابداری برای این مستاجر تنظیم نشده است.,,templates/accounting/chart_of_accounts.html:92
Credit Memo,یادداشت اعتباری,,"templates/accounting/credit_memos/form.html:37, templates/accounting/invoices/list.html:47"
Original Invoice,اصل فاکتور,,templates/accounting/credit_memos/form.html:137
Credit Limit Exceeded,بیش از حد اعتبار,,templates/accounting/customers/accounting_detail.html:72
"
                            This customer has exceeded their credit limit. Outstanding balance: $%(balance)s, Credit limit: $%(limit)s
                            ",این مشتری از سقف اعتبار خود فراتر رفته است. مانده مانده: $%(موجودی)s، حد اعتبار: $%(limit)s,,templates/accounting/customers/accounting_detail.html:76
Credit Limit,محدودیت اعتباری,,templates/accounting/customers/accounting_detail.html:104
No limit,بدون محدودیت,,templates/accounting/customers/accounting_detail.html:109
Tax Exempt,معافیت مالیاتی,,templates/accounting/customers/accounting_detail.html:114
Outstanding Balance,موجودی معوق,,"templates/accounting/customers/accounting_detail.html:142, templates/accounting/suppliers/accounting_detail.html:110"
of credit limit,حد اعتبار,,templates/accounting/customers/accounting_detail.html:148
Avg Days to Pay,میانگین روزهای پرداخت,,templates/accounting/customers/accounting_detail.html:163
out of 100,از 100,,templates/accounting/customers/accounting_detail.html:184
Recent Payment History,تاریخچه پرداخت های اخیر,,"templates/accounting/customers/accounting_detail.html:306, templates/accounting/suppliers/accounting_detail.html:262"
Print,چاپ کنید,,"templates/accounting/customers/statement.html:63, templates/accounting/suppliers/statement.html:63"
This is a computer-generated statement and does not require a signature.,این یک عبارت کامپیوتری است و نیازی به امضا ندارد.,,"templates/accounting/customers/statement.html:258, templates/accounting/suppliers/statement.html:309"
"For questions about this statement, please contact your accounting department.",برای سؤال در مورد این بیانیه، لطفاً با بخش حسابداری خود تماس بگیرید.,,"templates/accounting/customers/statement.html:260, templates/accounting/suppliers/statement.html:311"
"
                            Current Amount Due: $%(amount)s
                            ",مبلغ جاری: $%(amount)s,,templates/accounting/customers/statement.html:264
vs last period,در مقابل آخرین دوره,,"templates/accounting/dashboard.html:160, templates/accounting/dashboard.html:192"
profit margin,حاشیه سود,,templates/accounting/dashboard.html:220
liabilities,بدهی ها,,templates/accounting/dashboard.html:248
